team_abbreviation,season_year,n_players,n_malos,vara_value
LAC,2010,14,2,-0.3345468412219059
LAC,2011,15,2,-0.6143968766515004
LAC,2012,15,2,-0.5138096446078919
LAC,2013,18,2,-0.5893885944474336
LAC,2014,18,2,-0.6378794119987237
LAC,2015,16,2,-0.5651757202419323
LAC,2016,15,2,-0.728206504737385
LAC,2017,19,2,-0.4430749001098456
LAC,2018,19,2,-0.5872015531699537
LAC,2019,17,2,-0.4401855873493224
LAL,1996,14,2,-0.1891721938400368
LAL,1997,13,2,-0.3268855457365758
LAL,1998,14,2,-0.22948783765443828
LAL,1999,14,2,-0.3693171066742366
LAL,2000,15,2,-0.44398123854429217
LAL,2001,14,2,-0.37024013728196725
LAL,2002,14,2,-0.5383851021626362
LAL,2003,15,2,-0.3657401607903382
LAL,2004,15,2,-0.3748999433301169
LAL,2005,17,2,-0.7486435016167846
LAL,2006,14,2,-0.3868848056367781
LAL,2007,15,2,-0.34183312932483273
LAL,2008,15,2,-0.5009783374984613
LAL,2009,13,2,-0.5272640297279664
LAL,2010,15,2,-0.5833947618641822
LAL,2011,15,2,-0.706122783552167
LAL,2012,16,2,-0.7472573670579352
LAL,2013,18,2,-0.21355481171710705
LAL,2014,18,2,-0.5238473720544161
LAL,2015,15,2,-0.5876219757499231
LAL,2016,16,2,-0.40650347361146744
LAL,2017,20,2,-0.9868730512315795
LAL,2018,20,2,-0.4503113764663246
LAL,2019,18,2,-0.5569494785287586
MEM,2001,17,2,-0.5224931148472515
MEM,2002,15,2,-0.5239880925366303
MEM,2003,15,2,-0.29044270988502097
MEM,2004,15,2,-0.4390480420081799
MEM,2005,15,2,-0.5270616381115727
MEM,2006,15,2,-0.3952215083166113
MEM,2007,14,2,-0.6721446794224643
MEM,2008,12,2,-0.5328386083688266
MEM,2009,16,2,-0.4158653674659309
MEM,2010,16,2,-0.4526442845125431
MEM,2011,16,2,-0.6067388075513145
MEM,2012,16,2,-0.5346974565209683
MEM,2013,16,2,-0.4257182120163459
MEM,2014,18,2,-0.5629462960559283
MEM,2015,21,2,-0.48324020172083554
MEM,2016,16,2,-0.49600024588454417
MEM,2017,21,2,-0.4479292610072226
MEM,2018,22,3,-0.5428995192710588
MEM,2019,17,2,-0.4253868459408915
MIA,1996,17,2,-0.31075680011493884
MIA,1997,16,2,-0.35341364570595435
MIA,1998,17,2,-0.625012655222619
MIA,1999,16,2,-0.4071373554075066
MIA,2000,16,2,-0.4217250437925584
MIA,2001,17,2,-0.5650954106878255
MIA,2002,14,2,-0.5113052811404892
MIA,2003,17,2,-0.6856613202217489
MIA,2004,15,2,-0.46330289407291814
MIA,2005,17,2,-0.6672119660396238
MIA,2006,16,2,-0.4266174989236041
MIA,2007,19,2,-0.4256334179073665
MIA,2008,15,2,-0.5607193707490483
MIA,2009,15,2,-0.5680375516126743
MIA,2010,16,2,-0.3604762755650308
MIA,2011,15,2,-0.5690903672553533
MIA,2012,16,2,-0.5436070905810331
MIA,2013,17,2,-0.4993506191453404
MIA,2014,17,2,-0.7479672312524825
MIA,2015,15,2,-0.3619164428716997
MIA,2016,14,2,-0.4378836071530168
MIA,2017,18,2,-0.5265800118473535
MIA,2018,15,2,-0.6851817171742782
MIA,2019,18,2,-0.7553359754296818
MIL,1996,15,2,-0.811218487633357
MIL,1997,16,2,-0.5896426123129266
MIL,1998,15,2,-0.5969033651534266
MIL,1999,13,2,-0.36312056128833314
MIL,2000,15,2,-0.6198072155317726
MIL,2001,14,2,-0.46150624001632473
MIL,2002,13,2,-0.4842369884190865
MIL,2003,14,2,-0.3021071293403308
MIL,2004,15,2,-0.5884829511435553
MIL,2005,14,2,-0.5667072523134661
MIL,2006,16,2,-0.5322980959959929
MIL,2007,14,2,-0.35581148968862514
MIL,2008,15,2,-0.38109454282160926
MIL,2009,16,2,-0.6033631471304273
MIL,2010,15,2,-0.4467050991320284
MIL,2011,16,2,-0.29516443157409444
MIL,2012,15,2,-0.41835691506361267
MIL,2013,16,2,-0.18926469832174014
MIL,2014,18,2,-0.5829659921519308
MIL,2015,16,2,-0.768026755474779
MIL,2016,17,2,-0.6510016150387923
MIL,2017,19,2,-0.6344224783553056
MIL,2018,18,2,-0.30077727930442705
MIL,2019,16,2,-0.340521571190255
MIN,1996,13,2,-0.41207427741517993
MIN,1997,16,2,-0.49258115296545313
MIN,1998,17,2,-0.48779266246672254
MIN,1999,13,2,-0.42168087649056324
MIN,2000,15,2,-0.47244936507725377
MIN,2001,15,2,-0.5052501040401771
MIN,2002,14,2,-0.30546821908597027
MIN,2003,16,2,-0.4427274168061382
MIN,2004,14,2,-0.3551963902664581
MIN,2005,14,2,-0.4359117788936537
MIN,2006,14,2,-0.5543576853710317
MIN,2007,14,2,-0.6297177924538571
MIN,2008,15,2,-0.7765714282517433
MIN,2009,15,2,-0.7010473335938567
MIN,2010,14,2,-0.442871999909776
MIN,2011,15,2,-0.4791046012561892
MIN,2012,18,2,-0.48811535197224176
MIN,2013,16,2,-0.3967950714618192
MIN,2014,19,2,-0.42338464245982754
MIN,2015,14,2,-0.6860409170885169
MIN,2016,15,2,-0.44392884198253624
MIN,2017,15,2,-0.6002637525349389
MIN,2018,18,2,-0.5706264514653859
MIN,2019,17,2,-0.5704698813613862
NJN,1996,17,2,-0.47614315761655557
NJN,1997,16,2,-0.6731740938569231
NJN,1998,17,2,-0.7302215865391424
NJN,1999,15,2,-0.379234290223321
NJN,2000,18,2,-0.6616202663266945
NJN,2001,14,2,-0.7672467320372841
NJN,2002,15,2,-0.8270144579168981
NJN,2003,17,2,-0.854708464010479
NJN,2004,17,2,-0.682809945771919
NJN,2005,15,2,-0.589417741840203
NJN,2006,15,2,-0.5917072084130107
NJN,2007,13,2,-0.7611032744365815
NJN,2008,14,2,-0.5735143046947054
NJN,2009,15,2,-0.7034076734343149
NJN,2010,17,2,-0.5952029194980907
NJN,2011,22,3,-0.7954865777859237
NOH,2002,15,2,-0.4386502303549457
NOH,2003,15,2,-0.4330955080745464
NOH,2004,18,2,-0.5590427329048695
NOH,2007,15,2,-0.5320862233431224
NOH,2008,14,2,-0.3978573527346822
NOH,2009,13,2,-0.4188744742943249
NOH,2010,15,2,-0.5949051832494036
NOH,2011,21,2,-0.5028619037717554
NOH,2012,17,2,-0.5885514929538851
NOK,2005,17,2,-0.3919105859552194
NOK,2006,15,2,-0.44812957986696095
NOP,2013,19,2,-0.842187351700084
NOP,2014,16,2,-0.7175596088349556
NOP,2015,19,2,-0.5980221085347558
NOP,2016,17,2,-0.6582833141933647
NOP,2017,18,2,-0.7950317854491494
NOP,2018,17,2,-0.4669542953846918
NOP,2019,17,2,-0.42540895747397334
NYK,1996,13,2,-0.5236127088037131
NYK,1997,16,2,-0.5485422520964264
NYK,1998,13,2,-0.40054386296114053
NYK,1999,14,2,-0.6514270646563768
NYK,2000,14,2,-0.40130671129467
NYK,2001,14,2,-0.5132194124748419
NYK,2002,13,2,-0.5806619526532711
NYK,2003,16,2,-0.3221844480399243
NYK,2004,15,2,-0.5483246418854884
NYK,2005,16,2,-0.32434077587208754
NYK,2006,15,2,-0.44523230428309485
NYK,2007,15,2,-0.4962294354316598
NYK,2008,17,2,-0.38855117036190234
NYK,2009,14,2,-0.39950719135583956
NYK,2010,15,2,-0.5762466342697274
NYK,2011,17,2,-0.37065515165523966
NYK,2012,18,2,-0.4595578253380878
NYK,2013,17,2,-0.5423137452227564
NYK,2014,16,2,-0.38873078644077436
NYK,2015,16,2,-0.43887599070999367
NYK,2016,15,2,-0.42247826133584315
NYK,2017,19,2,-0.527677020756087
NYK,2018,17,2,-0.4720556170876352
NYK,2019,18,2,-0.5582105898800455
OKC,2008,16,2,-0.4429181008377586
OKC,2009,17,2,-0.8504906133121881
OKC,2010,15,2,-0.6268247499341195
OKC,2011,16,2,-0.6707974869005381
OKC,2012,15,2,-0.4920122451563969
OKC,2013,18,2,-0.7287159796643268
OKC,2014,16,2,-0.5787005159383776
OKC,2015,15,2,-0.6076896750029696
OKC,2016,15,2,-0.6029917863887692
OKC,2017,18,2,-0.5686808811553851
OKC,2018,17,2,-0.7551138153093955
OKC,2019,17,2,-0.7945012571051718
ORL,1996,14,2,-0.530093193599909
ORL,1997,16,2,-0.47612578403329925
ORL,1998,16,2,-1.0428286918707348
ORL,1999,16,2,-0.6043798189615488
ORL,2000,15,2,-0.469379069470857
ORL,2001,16,2,-0.7221073232304349
ORL,2002,15,2,-0.44764416236350174
ORL,2003,15,2,-0.7495949904575374
ORL,2004,16,2,-0.6859980435654947
ORL,2005,16,2,-0.5161612964985681
ORL,2006,15,2,-0.39594943911389097
ORL,2007,15,2,-0.5495852439053389
ORL,2008,14,2,-0.3375527591724325
ORL,2009,12,2,-0.06278770914695897
